"link_origem","posicao","senioridade","titulo_vaga","nome_empresa","requisitos"
https://unimedcuiaba.gupy.io/job/eyJqb2JJZCI6ODE5MDc2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Não Informado,Analista de Dados,Unimed Cuiabá,"SAS, Power BI, Tableau, Estatística, Excel, Linguagem R, Python, SQL, ETL"
https://genteraizen.gupy.io/job/eyJqb2JJZCI6ODE5MDc1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Analista Inteligência Dados Pl,Raízen ,"SAS, Power BI, Excel, SQL, ETL"
https://bancodaycoval.gupy.io/job/eyJqb2JJZCI6ODE5MDM3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Sênior, Analista de Dados Sênior,BANCO DAYCOVAL,"SAS, Power BI, Tableau, Excel, SQL, ETL, Power Point"
https://vemserhype.gupy.io/job/eyJqb2JJZCI6ODE2NDIyNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Não Informado,Pessoa Analista de Dados,Vem #SerHype,"SAS, Power BI, Excel, Python, SQL, ETL"
https://automob1.gupy.io/job/eyJqb2JJZCI6ODE3NzI4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,AUTOMOB | ANALISTA DE DADOS PLENO,AUTOMOB,"Power BI, Estatística, SQL"
https://brlink.gupy.io/job/eyJqb2JJZCI6ODE4NzUzNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Analista de Ciências de Dados II,Ingram Micro,"Power BI, Estatística, Python, AWS, Machine Learning, MLOps"
https://duxnutrition.gupy.io/job/eyJqb2JJZCI6ODE4Njg2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Sênior,Analista de Governança de Dados Sênior (Home office),DUX Company,"SAS, Power BI, Excel, Python, SQL, GCP, Git, Github"
https://minsait.gupy.io/job/eyJqb2JJZCI6ODExMDE2NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Analista de Dados PL/SQL  BI orientado a Negócios,Minsait an Indra Company,"Power BI, Linguagem R, Python, SQL, ETL, SQL Server"
https://solveplan.gupy.io/job/eyJqb2JJZCI6ODE4NjM5Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Analista de Banco de Dados,SolvePlan,"Power BI, SQL"
https://golcarreiras.gupy.io/job/eyJqb2JJZCI6ODE4NTE1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Não Informado,Analista de Dados ,GOL Linhas Aéreas,"SAS, Power BI, ETL"
https://autoglassadministrativo.gupy.io/job/eyJqb2JJZCI6ODE4NTAzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Júnior,Analista de Dados I - Financeiro,Grupo Autoglass Administrativo,"Power BI, Tableau, Excel, SQL"
https://windwerk.gupy.io/job/eyJqb2JJZCI6ODE2NzE4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Analista de Dados em Energias Renováveis (Pleno),WINDWERK Jobs,"SAS, Power BI, Excel"
