"vaga_id","link_site","link_origem","data_publicacao","data_coleta","link_origem","posicao","senioridade","titulo_vaga","nome_empresa","requisitos"
1,https://unimedcuiaba.gupy.io/job/eyJqb2JJZCI6ODE5MDc2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://unimedcuiaba.gupy.io/job/eyJqb2JJZCI6ODE5MDc2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://unimedcuiaba.gupy.io/job/eyJqb2JJZCI6ODE5MDc2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Não Informado,Analista de Dados,Unimed Cuiabá,"SAS, Power BI, Tableau, Estatística, Excel, Linguagem R, Python, SQL, ETL"
2,https://genteraizen.gupy.io/job/eyJqb2JJZCI6ODE5MDc1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://genteraizen.gupy.io/job/eyJqb2JJZCI6ODE5MDc1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://genteraizen.gupy.io/job/eyJqb2JJZCI6ODE5MDc1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Analista Inteligência Dados Pl,Raízen ,"SAS, Power BI, Excel, SQL, ETL"
3,https://bancodaycoval.gupy.io/job/eyJqb2JJZCI6ODE5MDM3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://bancodaycoval.gupy.io/job/eyJqb2JJZCI6ODE5MDM3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://bancodaycoval.gupy.io/job/eyJqb2JJZCI6ODE5MDM3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Sênior, Analista de Dados Sênior,BANCO DAYCOVAL,"SAS, Power BI, Tableau, Excel, SQL, ETL, Power Point"
4,https://vemserhype.gupy.io/job/eyJqb2JJZCI6ODE2NDIyNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://vemserhype.gupy.io/job/eyJqb2JJZCI6ODE2NDIyNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://vemserhype.gupy.io/job/eyJqb2JJZCI6ODE2NDIyNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Não Informado,Pessoa Analista de Dados,Vem #SerHype,"SAS, Power BI, Excel, Python, SQL, ETL"
5,https://automob1.gupy.io/job/eyJqb2JJZCI6ODE3NzI4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://automob1.gupy.io/job/eyJqb2JJZCI6ODE3NzI4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://automob1.gupy.io/job/eyJqb2JJZCI6ODE3NzI4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,AUTOMOB | ANALISTA DE DADOS PLENO,AUTOMOB,"Power BI, Estatística, SQL"
6,https://brlink.gupy.io/job/eyJqb2JJZCI6ODE4NzUzNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://brlink.gupy.io/job/eyJqb2JJZCI6ODE4NzUzNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://brlink.gupy.io/job/eyJqb2JJZCI6ODE4NzUzNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Analista de Ciências de Dados II,Ingram Micro,"Power BI, Estatística, Python, AWS, Machine Learning, MLOps"
7,https://duxnutrition.gupy.io/job/eyJqb2JJZCI6ODE4Njg2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://duxnutrition.gupy.io/job/eyJqb2JJZCI6ODE4Njg2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://duxnutrition.gupy.io/job/eyJqb2JJZCI6ODE4Njg2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Sênior,Analista de Governança de Dados Sênior (Home office),DUX Company,"SAS, Power BI, Excel, Python, SQL, GCP, Git, Github"
8,https://minsait.gupy.io/job/eyJqb2JJZCI6ODExMDE2NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://minsait.gupy.io/job/eyJqb2JJZCI6ODExMDE2NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://minsait.gupy.io/job/eyJqb2JJZCI6ODExMDE2NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Analista de Dados PL/SQL  BI orientado a Negócios,Minsait an Indra Company,"Power BI, Linguagem R, Python, SQL, ETL, SQL Server"
9,https://solveplan.gupy.io/job/eyJqb2JJZCI6ODE4NjM5Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://solveplan.gupy.io/job/eyJqb2JJZCI6ODE4NjM5Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://solveplan.gupy.io/job/eyJqb2JJZCI6ODE4NjM5Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Analista de Banco de Dados,SolvePlan,"Power BI, SQL"
10,https://golcarreiras.gupy.io/job/eyJqb2JJZCI6ODE4NTE1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://golcarreiras.gupy.io/job/eyJqb2JJZCI6ODE4NTE1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://golcarreiras.gupy.io/job/eyJqb2JJZCI6ODE4NTE1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Não Informado,Analista de Dados ,GOL Linhas Aéreas,"SAS, Power BI, ETL"
11,https://autoglassadministrativo.gupy.io/job/eyJqb2JJZCI6ODE4NTAzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://autoglassadministrativo.gupy.io/job/eyJqb2JJZCI6ODE4NTAzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://autoglassadministrativo.gupy.io/job/eyJqb2JJZCI6ODE4NTAzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Júnior,Analista de Dados I - Financeiro,Grupo Autoglass Administrativo,"Power BI, Tableau, Excel, SQL"
12,https://windwerk.gupy.io/job/eyJqb2JJZCI6ODE2NzE4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://windwerk.gupy.io/job/eyJqb2JJZCI6ODE2NzE4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://windwerk.gupy.io/job/eyJqb2JJZCI6ODE2NzE4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Analista de Dados em Energias Renováveis (Pleno),WINDWERK Jobs,"SAS, Power BI, Excel"
