Tool,Count
power bi,88
sql,60
python,31
excel,31
etl,26
banco de dados,16
linguagem r,11
sql server,10
azure,10
tableau,8
power apps,8
power automate,8
"power bi, excel, power bi, excel, power bi, excel, power bi, excel, power bi, excel",6
machine learning,6
qlik view,6
aws,5
"brandwatch, google analytics, power bi, tableau., brandwatch, google analytics, power bi, tableau., brandwatch, google analytics, power bi, tableau., brandwatch, google analytics, power bi, tableau., brandwatch, google analytics, power bi, tableau.",5
databricks,5
vba,5
google analytics,5
tableau.,5
brandwatch,5
mysql,4
"power bi, power bi, power bi, power bi, power bi",4
api,4
looker,4
gcp,3
power b.i,3
dax,3
power query,3
dw,3
excel.,3
hadoop,2
erp,2
"power bi, excel, linguagem r, python, sql, etl, mlops, sql server, azure, power bi, excel, linguagem r, python, sql, etl, mlops, sql server, azure, power bi, excel, linguagem r, python, sql, etl, mlops, sql server, azure, power bi, excel, linguagem r, python, sql, etl, mlops, sql server, azure, power bi, excel, linguagem r, python, sql, etl, mlops, sql server, azure",2
pacote office avançado,2
power bi.,2
"power bi, sql, power bi, sql, power bi, sql, power bi, sql, power bi, sql",2
mlops,2
"power b.i, excel, sql, power b.i, excel, sql, power b.i, excel, sql, power b.i, excel, sql, power b.i, excel, sql",2
oracle,2
"sql server, power bi, excel., sql server, power bi, excel., sql server, power bi, excel., sql server, power bi, excel., sql server, power bi, excel.",2
totvs datasul,2
"power bi, tableau, linguagem r, python, sql, looker, power bi, tableau, linguagem r, python, sql, looker, power bi, tableau, linguagem r, python, sql, looker, power bi, tableau, linguagem r, python, sql, looker, power bi, tableau, linguagem r, python, sql, looker",2
"power bi, linguagem r, python, sql, etl, machine learning, power bi, linguagem r, python, sql, etl, machine learning, power bi, linguagem r, python, sql, etl, machine learning, power bi, linguagem r, python, sql, etl, machine learning, power bi, linguagem r, python, sql, etl, machine learning",2
excel avançado,2
bancos de dados,2
r,2
estatística,2
etl.,2
"power bi, excel, vba, power bi, excel, vba, power bi, excel, vba, power bi, excel, vba, power bi, excel, vba",2
spark,2
"power bi, tableau, linguagem r, python, sql, etl, aws, spark, azure, hadoop, power bi, tableau, linguagem r, python, sql, etl, aws, spark, azure, hadoop, power bi, tableau, linguagem r, python, sql, etl, aws, spark, azure, hadoop, power bi, tableau, linguagem r, python, sql, etl, aws, spark, azure, hadoop, power bi, tableau, linguagem r, python, sql, etl, aws, spark, azure, hadoop",2
"power bi, excel, banco de dados, sql, power bi, excel, banco de dados, sql, power bi, excel, banco de dados, sql, power bi, excel, banco de dados, sql, power bi, excel, banco de dados, sql",2
"power bi, excel, python, sql, databricks, azure, power apps, power automate, vba, power bi, excel, python, sql, databricks, azure, power apps, power automate, vba, power bi, excel, python, sql, databricks, azure, power apps, power automate, vba, power bi, excel, python, sql, databricks, azure, power apps, power automate, vba, power bi, excel, python, sql, databricks, azure, power apps, power automate, vba",2
pacote office,2
"excel, sql, big query, power bi, excel, sql, big query, power bi, excel, sql, big query, power bi, excel, sql, big query, power bi, excel, sql, big query, power bi",2
oauth,2
dax e linguagem m,2
json,2
dimensional,2
"power bi, excel, sql, sql server, power bi, excel, sql, sql server, power bi, excel, sql, sql server, power bi, excel, sql, sql server, power bi, excel, sql, sql server",2
odi,2
"power bi, python, power bi, python, power bi, python, power bi, python, power bi, python",2
relacional,2
stage,2
big query,2
