Nome ,Nível ,Empresa,Ensinio Superior, Ferramentas
Analista de Power BI,Jr,Randstad - Filial,"Administração, Engenharia de produção, áreas afins ","Power BI, Pacote office, Excel "
ANALISTA DE BI JR,JR,Spread Tecnologia4.2,Completa ou Cursando em áreas relacionadas a TI,"Power BI, Tableau, Qlik,  ETL , SQL "
Estagiário  de BI,Estagiário ,BAGAGGIO3.2," Engenharia, Economia, Marketing ou áreas afins;","Excel, SQL, Big Query, Power BI"
Analista de BI,pleno,Grupo Domingão1.0,,"Postgre SQL, DAX , Linguagem M,  Power BI, RESTful APIs, JSON, OAuth, Python"
ANALISTA DE BI,JR,O Emprego - Vagas Brasil,Bacharelado | Licenciatura | Tecnologia.,"Power BI, SQL, Excel"
Analista de Power BI, Sênior,Solor Tecnologia,,"ODI, DW,  Stage, SQL"
Analista de Power BI Jr,jr,Randstad - Filial Norte RJ3.7,"Administração, Engenharia de produção, áreas afins"," BrandWatch, Google Analytics, Power BI, Tableau"
Estagiário de BI,,BAGAGGIO3.2,"Cursando Administração, Engenharia, Economia, Marketing ou áreas relacionadas;","Excel, SQL, Big Query, Power BI "
Analista de Power BI,Sênior,Solor Tecnologia4.4,,"DAX , Linguagem M,  Power Apps, Power Automate, Power Query,  API, Banco de dados, SQL"
Analista de Power BI,,"Netvagas 3.3
",,"Power BI, DAX, Linguagem M, RESTful, API, JSON, OAuth, Python,  Automação, PostgreSQL"
Analista de Power BI,,Jobbol4.6,," Qlik Sense, Power BI, ETL,  Banco de dados"
Analista de BI,,OSTEN GROUP3.9,,"Power BI , Pipelines, Banco de dados "
Analista de Dados e BI |,,IN.PACTO COMUNICACAO CORPORATIVA E DIGITAL SS,,"BrandWatch, Google Analytics, Power BI, Tableau"
Analista de Dados e BI ,Sênior,Meta,,"Power BI, Banco de dados, SQL , Integrações,  API"
Analista de BI (Mídia),,Volkswagen Group Services South America,"superior completa em Publicidade e Propaganda, Marketing ou áreas correlatas.","Power BI,  Banco de dados, SQL, testes A/B"
Analista de BI,,MIRANTE TECNOLOGIA4.2,,"ODI, DW, Stage, Modelagem de Dados, SQL"
Analista de Dados/Power Bi,Sênior,ALTA VISTA INVESTIMENTOS,"Ensino Superior em Gestão da Tecnologia da Informação, Ciência da Computação ou áreas afins;","Power BI, Power Query, DAX, Banco de Dados, SQL"
Analista de BI,,Carone,,"Power BI, Excel, Banco de dados, SQL"
Analista de BI,,Re,Graduação completa ou cursando na área de exatas ou de negócios;," Power BI, Banco de Dados,  SQL, Pacote Office"
Analista de BI {Web Analytcs},,"Logotipo da Brivia Brivia
","Formação em Comunicação, Sociologia, Antropologia ou áreas afins."," BrandWatch, Google Analytics, Power BI, Tableau"
Analista de BI,,Safe Investimentos,,"Power BI, Excel"
Analista de BI,,SICOOB ENGECRED4.4,"Graduação em Tecnologia da Informação, Sistemas da Informação ou áreas afins;"," SQL, Power BI,  Excel"
Analista de Dados - BI,,EGE SOLUCOES LTDA5.0,," SQL, Power BI,  Excel"
Analista de Power BI,,NUTRIPLANT INDÚSTRIA E COMÉRCIO S/A,,"Power BI, bancos de dados, MySQL, Progress, banco de dados, ERP,  Totvs DataSul"
Analista de Power BI,,Logotipo da Redebrasi Redebrasil,,"Banco de Dados, SQL,  Power BI, Pacote Office "
Analista BI - Júnior,,GOL Linhas Aéreas," (Colação de grau/Diploma) nas áreas de exatas: Engenharia, Estatística, Ciências da informação, Sistemas de informação e Administração;","Power BI, Power Apps, Power Automate,  VBA, Python, SQL, Excel"
ANALISTA BI,SR,Scala,"Graduação em Ciência da Computação, Engenharia de Dados, Estatística ou áreas relacionadas.","SQL, Python, R ,  star schema,   snowflake schema, bancos de dados,  API, Power BI"
ANALISTA BI,,Ewave do Brasil,"Formação em Comunicação, Sociologia, Antropologia ou áreas afins.","Power BI,  Analysis Services, Azure Cloud "
Analista de  BI,,IN.PACTO COMUNI,"Formação em Comunicação, Sociologia, Antropologia ou áreas afins.","BrandWatch, Google Analytics, Power BI,  Tableau"
Analista de  BI,,Mycon, Ensino Superior,"Power BI, Excel,  Banco de dados, SQL"
Analista de  BI,,Randstad, Ensino Superior,"SQL, Power BI, Excel "
Analista de  BI,,Senff ,"Ensino Superior completo ou em andamento em Tecnologia da Informação, Estatística ou Matemática;","Pacote Office, Excel, Power BI, SQL, PYTHON, ETL"
Analista de Dados - BI,,RADARFIT LICENCIAMENT,"Formação em Engenharia, Computação, Estatística, Administração ou áreas correlatas.","SQL,  Excel, Power BI, Looker, Git"
Analista de Power BI e Dados,,"Logotipo da Roit

",,"Looker, estatísticas, Python, R, SQL , BigQuery, Postgre, Bancos de dados, API"
